DATE	ID
1/1/2016	CS.046
1/2/2016	CS.051
1/3/2016	L.007
1/4/2016	CS.061
1/5/2016	CS.053
1/6/2016	L.012
1/7/2016	CS.062
1/8/2016	CS.066
1/9/2016	CS.067
1/10/2016	CS.058
1/11/2016	CS.085
1/12/2016	L.004
1/13/2016	L.006
1/14/2016	CS.047
1/15/2016	CS.065
1/16/2016	CS.106
1/17/2016	CS.094
1/18/2016	CS.099
1/19/2016	L.008
1/20/2016	CS.107
1/21/2016	CS.091
1/22/2016	CS.050
1/23/2016	CS.092
1/24/2016	CS.090
1/25/2016	CS.087
1/26/2016	CS.093
1/27/2016	CS.086
1/28/2016	CS.089
1/29/2016	CS.083
1/30/2016	CS.088
1/31/2016	CS.076
2/1/2016	CS.077
2/2/2016	CS.063
2/3/2016	CS.072
2/4/2016	CS.073
2/5/2016	CS.064
02/06/16	CS.034
02/07/16	CS.070
02/08/16	CS.039
02/09/16	CS.037
02/10/16	CS.035
02/11/16	CS.033
02/12/16	CS.074
02/13/16	CS.084
02/14/16	CS.071
02/15/16	CS.068
02/16/16	CS.060
02/17/16	CS.075
02/18/16	CS.044
02/19/16	CS.038
02/20/16	CS.030
02/21/16	CS.040
02/22/16	CS.057
02/23/16	L.005
02/24/16	CS.059
02/25/16	CS.052
02/26/16	CS.171
02/27/16	CS.055
02/28/16	CS.123
02/29/16	CS.056
03/01/16	CS.122
03/02/16	CS.167
03/03/16	CS.170
03/04/16	CS.169
03/05/16	CS.097
03/06/16	CS.095
03/07/16	L.025
03/08/16	CS.102
03/09/16	CS.029
03/10/16	CS.031
03/11/16	CS.032
03/12/16	CS.049
03/13/16	CS.021
03/14/16	L.001
03/15/16	L.002
03/16/16	L.003
03/17/16	CS.001
03/18/16	CS.002
03/19/16	CS.003
03/20/16	CS.004
03/21/16	CS.005
03/22/16	CS.006
03/23/16	CS.007
03/24/16	CS.008
03/25/16	CS.009
03/26/16	CS.011
03/27/16	CS.012
03/28/16	CS.013
03/29/16	CS.014
03/30/16	CS.015
03/31/16	CS.010
04/01/16	CS.016
04/02/16	CS.017
04/03/16	CS.022
04/04/16	CS.023
04/05/16	CS.024
04/06/16	CS.025
04/07/16	CS.026
04/08/16	CS.027
04/09/16	CS.028
04/10/16	CS.043
04/11/16	CS.018
04/12/16	CS.019
04/13/16	CS.020
04/14/16	CS.103
04/15/16	CS.132
04/16/16	CS.131
04/17/16	CS.130
04/18/16	CS.111
04/19/16	CS.133
04/20/16	CS.109
04/21/16	CS.110
04/22/16	CS.082
04/23/16	CS.105
04/24/16	CS.104
04/25/16	CS.096
04/26/16	CS.101
04/27/16	CS.098
04/28/16	CS.115
04/29/16	CS.124
04/30/16	CS.042
05/01/16	L.024
05/02/16	CS.120
05/03/16	CS.168
05/04/16	L.022
05/05/16	CS.286
05/06/16	CS.298
05/07/16	CS.312
05/08/16	CS.233
05/09/16	CS.236
05/10/16	CS.136
05/11/16	CS.235
05/12/16	CS.041
05/13/16	CS.292
05/14/16	CS.291
05/15/16	CS.285
05/16/16	CS.290
05/17/16	CS.249
05/18/16	CS.308
05/19/16	CS.311
05/20/16	CS.248
05/21/16	CS.078
05/22/16	CS.135
05/23/16	CS.228
05/24/16	CS.163
05/25/16	CS.251
05/26/16	CS.154
05/27/16	CS.229
05/28/16	CS.158
05/29/16	CS.231
05/30/16	CS.342
05/31/16	CS.232
06/01/16	CS.155
06/02/16	CS.219
06/03/16	CS.200
06/04/16	CS.217
06/05/16	CS.218
06/06/16	CS.199
06/07/16	CS.160
06/08/16	CS.220
06/09/16	CS.227
06/10/16	CS.237
06/11/16	CS.240
06/12/16	CS.239
06/13/16	CS.241
06/14/16	CS.238
06/15/16	CS.161
06/16/16	CS.117
06/17/16	CS.113
06/18/16	CS.187
06/19/16	CS.366
06/20/16	CS.303
06/21/16	CS.351
06/22/16	CS.363
06/23/16	CS.216
06/24/16	CS.364
06/25/16	CS.198
06/26/16	CS.081
06/27/16	CS.150
06/28/16	CS.336
06/29/16	CS.204
06/30/16	CS.202
07/01/16	CS.206
07/02/16	CS.327
07/03/16	CS.325
07/04/16	CS.318
07/05/16	CS.213
07/06/16	CS.203
07/07/16	CS.191
07/08/16	CS.153
07/09/16	CS.234
07/10/16	CS.301
07/11/16	CS.300
07/12/16	CS.302
07/13/16	CS.224
07/14/16	CS.283
07/15/16	CS.334
07/16/16	CS.309
07/17/16	CS.116
07/18/16	CS.159
07/19/16	CS.343
07/20/16	CS.328
07/21/16	CS.329
07/22/16	CS.330
07/23/16	CS.332
07/24/16	CS.276
07/25/16	CS.282
07/26/16	CS.189
07/27/16	CS.190
07/28/16	CS.275
07/29/16	CS.196
07/30/16	CS.272
07/31/16	CS.193
08/01/16	CS.142
08/02/16	CS.140
08/03/16	CS.139
08/04/16	CS.141
08/05/16	CS.335
08/06/16	CS.143
08/07/16	CS.175
08/08/16	CS.176
08/09/16	CS.215
08/10/16	CS.288
08/11/16	CS.188
08/12/16	CS.306
08/13/16	CS.287
08/14/16	CS.274
08/15/16	CS.367
08/16/16	CS.230
08/17/16	CS.358
08/18/16	CS.341
08/19/16	CS.331
08/20/16	CS.205
08/21/16	CS.337
08/22/16	CS.269
08/23/16	CS.208
08/24/16	CS.212
08/25/16	CS.344
08/26/16	CS.195
08/27/16	CS.194
08/28/16	CS.222
08/29/16	CS.365
08/30/16	CS.307
08/31/16	CS.322
09/01/16	CS.321
09/02/16	CS.319
09/03/16	CS.320
09/04/16	CS.362
09/05/16	CS.361
09/06/16	CS.304
09/07/16	CS.360
09/08/16	CS.138
09/09/16	CS.207
09/10/16	CS.137
09/11/16	CS.151
09/12/16	CS.223
09/13/16	CS.152
09/14/16	CS.350
09/15/16	CS.297
09/16/16	CS.368
09/17/16	CS.333
09/18/16	CS.267
09/19/16	CS.210
09/20/16	CS.338
09/21/16	CS.134
09/22/16	CS.079
09/23/16	CS.080
09/24/16	CS.197
09/25/16	CS.221
09/26/16	CS.201
09/27/16	CS.346
09/28/16	CS.345
09/29/16	CS.347
09/30/16	CS.119
10/01/16	CS.114
10/02/16	CS.112
10/03/16	CS.165
10/04/16	L.011
10/05/16	CS.246
10/06/16	CS.247
10/07/16	CS.284
10/08/16	CS.157
10/09/16	CS.156
10/10/16	CS.373
10/11/16	T.CS.100
10/12/16	CS.379
10/13/16	CS.258
10/14/16	CS.381
10/15/16	CS.375
10/16/16	CS.383
10/17/16	
10/18/16	
10/19/16	
10/20/16	
10/21/16	
10/22/16	
10/23/16	
10/24/16	